metric_key,metric_label,signal_id,winner,coverage_methods,bessel_iir,bessel_fir,fir_10k,baseline_nn,distillation_nn
lowband_phase_error_deg,Lowband Phase Error (deg),pink_noise,fir_10k,2,,90.11658328693419,0.01161864790996702,,
lowband_phase_error_deg,Lowband Phase Error (deg),tfs_multitone,fir_10k,2,,96.29516413447514,2.0756017266260185e-05,,
lowband_phase_error_deg,Lowband Phase Error (deg),thd_1khz,fir_10k,2,,107.89374091790435,2.8243399853749595e-05,,
lowband_phase_error_deg,Lowband Phase Error (deg),tone_burst_8khz,fir_10k,2,,94.372142089303,0.0001284031047771697,,
lowband_group_delay_error_ms,Lowband Group Delay Error (ms),am_attack_1khz,fir_10k,2,,56.642802016774326,0.0008197560440615048,,
lowband_group_delay_error_ms,Lowband Group Delay Error (ms),binaural_cues,fir_10k,2,,56.64095615421378,0.01972137001399203,,
lowband_group_delay_error_ms,Lowband Group Delay Error (ms),click,fir_10k,2,,56.640128260208144,0.004678895818981203,,
lowband_group_delay_error_ms,Lowband Group Delay Error (ms),complex_bass,fir_10k,2,,56.64247914293244,0.009321251229102236,,
lowband_group_delay_error_ms,Lowband Group Delay Error (ms),modulated_am_fm,fir_10k,2,,56.64306522626663,0.0026078621630968913,,
lowband_group_delay_error_ms,Lowband Group Delay Error (ms),ms_side_texture,fir_10k,2,,56.64253741610622,0.0026917966315447178,,
lowband_group_delay_error_ms,Lowband Group Delay Error (ms),notched_noise_8khz,fir_10k,2,,56.76586780938065,0.9998327161900407,,
lowband_group_delay_error_ms,Lowband Group Delay Error (ms),pink_noise,fir_10k,2,,56.74927438793988,0.5866957619129629,,
lowband_group_delay_error_ms,Lowband Group Delay Error (ms),tfs_multitone,fir_10k,2,,56.63983319954001,0.0007469673780835508,,
lowband_group_delay_error_ms,Lowband Group Delay Error (ms),thd_1khz,fir_10k,2,,56.64302236841496,0.0010531507967124717,,
lowband_group_delay_error_ms,Lowband Group Delay Error (ms),tone_burst_8khz,fir_10k,2,,56.640972062214566,0.0017509432859961142,,
